Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,@,Washington Football Team,20,16,27,424,334,90,2,15,259,133,126,1,9.45,-1.45,-1.24
2,Sun,September 19,4:25PM ET,boxscore,L,,1-1,,Dallas Cowboys,17,20,24,408,313,95,2,25,419,221,198,1,5.55,-17.50,-1.81
3,Sun,September 26,1:00PM ET,boxscore,W,,2-1,@,Kansas City Chiefs,30,24,21,352,275,77,,33,437,251,186,4,16.65,-9.49,-3.01
4,Mon,October 4,8:15PM ET,boxscore,W,,3-1,,Las Vegas Raiders,28,14,25,380,212,168,,13,213,165,48,1,11.99,7.95,-2.22
5,Sun,October 10,4:05PM ET,boxscore,W,,4-1,,Cleveland Browns,47,42,27,493,381,112,1,25,531,301,230,,31.81,-22.52,-3.45
6,Sun,October 17,1:00PM ET,boxscore,L,,4-2,@,Baltimore Ravens,6,34,14,208,182,26,1,27,327,140,187,2,-13.93,-7.50,-4.48
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 31,4:05PM ET,boxscore,L,,4-3,,New England Patriots,24,27,17,369,206,163,2,21,352,210,142,1,1.35,1.47,-9.98
9,Sun,November 7,4:05PM ET,boxscore,W,,5-3,@,Philadelphia Eagles,27,24,28,445,356,89,,20,331,155,176,,20.72,-17.56,-1.49
10,Sun,November 14,4:05PM ET,boxscore,L,,5-4,,Minnesota Vikings,20,27,20,253,171,82,1,24,381,278,103,1,3.95,-8.75,-2.56
11,Sun,November 21,8:20PM ET,boxscore,W,,6-4,,Pittsburgh Steelers,41,37,33,533,374,159,1,22,300,245,55,,20.68,-7.04,-7.92
12,Sun,November 28,4:05PM ET,boxscore,L,,6-5,@,Denver Broncos,13,28,20,357,285,72,2,23,302,155,147,1,-6.58,-12.16,-1.43
13,Sun,December 5,1:00PM ET,boxscore,W,,7-5,@,Cincinnati Bengals,41,22,18,363,284,79,3,21,356,260,96,4,1.98,12.31,1.02
14,Sun,December 12,4:05PM ET,boxscore,W,,8-5,,New York Giants,37,21,26,423,271,152,,20,316,181,135,2,18.32,0.24,-3.58
15,Thu,December 16,8:20PM ET,boxscore,L,OT,8-6,,Kansas City Chiefs,28,34,28,428,236,192,2,26,496,410,86,2,6.23,-13.18,1.57
16,Sun,December 26,1:00PM ET,boxscore,L,,8-7,@,Houston Texans,29,41,25,417,328,89,3,26,437,248,189,,5.49,-24.35,2.75
17,Sun,January 2,4:05PM ET,boxscore,W,,9-7,,Denver Broncos,34,13,21,341,237,104,,18,319,236,83,1,15.09,7.80,1.00
18,Sun,January 9,8:25PM ET,boxscore,L,OT,9-8,@,Las Vegas Raiders,32,35,27,440,355,85,2,24,346,172,174,,16.16,-11.13,-8.69

